Date,PortfolioValue,Return,Cost,Weights
2020-04-28,116454.57794761621,-0.0260606110425593,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-04-29,119405.0903203489,0.02533616474965794,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-04-30,124502.44278820904,0.042689574239964,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-01,115043.48269871908,-0.07597409237648922,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-04,116550.69457191185,0.013101236487597756,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-05,116641.78152544665,0.0007815221854263754,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-06,118325.63850731544,0.014436139090531874,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-07,119148.43889158525,0.006953694859791026,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-08,119752.32957501453,0.005068389389295991,0.0,"{'AAPL': 0.0, 'AMZN': 1.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-11,121283.33972626564,0.013432782234717482,76.56828887958591,"{'AAPL': 0.31969436064967094, 'AMZN': 0.6803056393503291, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-12,119224.64097801804,-0.01664418863199452,40.71360891197699,"{'AAPL': 0.4875393796105063, 'AMZN': 0.5124606203894937, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-13,117804.68810202912,-0.011020812954589322,107.18163696528143,"{'AAPL': 0.9370338636620161, 'AMZN': 0.06296613633798388, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-14,118584.68406429997,0.007533054567170702,106.62993237122268,"{'AAPL': 0.4844630276063581, 'AMZN': 0.5155369723936418, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-15,118714.48353044283,0.0011615828704847541,7.937251792369254,"{'AAPL': 0.5179296251480164, 'AMZN': 0.48207037485198356, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-18,119673.67092284514,0.008878708673966888,94.0092415763094,"{'AAPL': 0.12198281739308096, 'AMZN': 0.8780171826069191, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
